"","from_id","from_name","message","created_time","type","link","id","likes_count","comments_count","shares_count"
"310","213918568751224","Bruce Rauner","Forbes Magazine today released its annual rankings of Best States for Business and Illinois ranked 38th – a 14 spot drop since Pat Quinn took office. The Forbes report follows last week's news that Illinois' unemployment rate remained unchanged last month and is the highest in the Midwest.

Another day, another report showing Illinois floundering behind the rest of the nation. It’s got to end. Pat Quinn is the worst governor in America and he is failing the people of Illinois. We need to lower the tax burden, rein in the debt and make Illinois open for business.","2013-09-25T20:51:21+0000","status",NA,"213918568751224_306884036121343",418,57,121
"311","213918568751224","Bruce Rauner","Illinoisans deserve better!","2013-09-24T20:08:37+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/306552249487855/?type=1&relevant_count=1","213918568751224_306552259487854",421,76,259
"312","213918568751224","Bruce Rauner","We've got to shake up the system in Springfield! http://illinoisreview.typepad.com/illinoisreview/2013/09/yahoo-finance-illinois-has-most-threatened-state-pension-plan-in-us.html","2013-09-24T15:29:18+0000","link","http://illinoisreview.typepad.com/illinoisreview/2013/09/yahoo-finance-illinois-has-most-threatened-state-pension-plan-in-us.html","213918568751224_306460986163648",93,14,19
"313","213918568751224","Bruce Rauner","Can't visit St. Charles without stopping by Colonial Cafe for a Kitchen Sink. Never too early for their ice cream.","2013-09-21T16:42:30+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/305407322935681/?type=1&relevant_count=1","213918568751224_305407332935680",136,8,0
"314","213918568751224","Bruce Rauner","Met with small business owners and visited Rockford Business Expo yesterday. Job creation needs to be a top priority. We have to make Illinois' economy booming again! http://www.mystateline.com/fulltext-news/gop-gubernatorial-candidate-says-he-can-create-more-jobs/d/fulltext-news/3crC0sa2CkWpWjWhBVBwOw","2013-09-20T17:10:15+0000","link","http://www.mystateline.com/fulltext-news/gop-gubernatorial-candidate-says-he-can-create-more-jobs/d/fulltext-news/3crC0sa2CkWpWjWhBVBwOw","213918568751224_304800496329697",144,29,0
"315","213918568751224","Bruce Rauner","Illinois’ unemployment rate was unchanged last month and remains highest in the Midwest. Tragically, under Pat Quinn’s dismal leadership, Illinois continues to lag far behind our neighboring states and the rest of America.  I believe we will only get Illinoisans back on the job, when Pat Quinn loses his job.","2013-09-19T18:14:25+0000","status",NA,"213918568751224_304310079712072",703,84,79
"316","213918568751224","Bruce Rauner","So Hillary Clinton thinks Pat Quinn is the luckiest politicians in the world. If true, what does that make Illinois' citizens? 

We need to work extra hard and take luck totally out of the equation next year. Pat Quinn has failed Illinois and needs to go. http://trib.in/156GLKF","2013-09-19T14:29:05+0000","link","http://trib.in/156GLKF","213918568751224_304234873052926",316,106,32
"317","213918568751224","Bruce Rauner","One of the greatest governing documents in the history of the world was signed 226 years ago today. Click ""LIKE"" to show your support for the U.S. Constitution!","2013-09-17T18:57:21+0000","status",NA,"213918568751224_303549133121500",1105,32,66
"318","213918568751224","Bruce Rauner","Pat Quinn is a master of union and machine politics, but that approach to governing has failed the people of Illinois. I’m the only candidate able to offer a clean break from the failed policies coming out of Springfield, and I can’t be bought by the government union bosses and special interests running the state. I can’t be intimidated, and I won’t back down until we bring back Illinois.","2013-09-17T01:28:11+0000","status",NA,"213918568751224_303273416482405",685,131,69
"319","213918568751224","Bruce Rauner","With Bill Daley's decision to drop out of the race for governor, one more obstacle in our quest to Bring Back Illinois is out of the way. But we must not let up; our opportunity is too great. Time to step up our efforts.","2013-09-17T00:48:58+0000","status",NA,"213918568751224_303263506483396",470,34,20
"320","213918568751224","Bruce Rauner","Best funded state owes $18 per capita for pension costs. Illinois - the worst - owes $7,421 per capita. We need to shake things up in Springfield http://wapo.st/16ys5T1","2013-09-16T21:52:06+0000","link","http://wapo.st/16ys5T1","213918568751224_303221716487575",230,28,24
"321","213918568751224","Bruce Rauner","Term limits was a big hit during my visit to Quad Cities yesterday. Watch this news clip about it: http://bit.ly/1beB6nN","2013-09-13T16:41:32+0000","video","http://bit.ly/1beB6nN","213918568751224_301949429948137",103,6,0
"322","213918568751224","Bruce Rauner","Some of the best pizza outside Chicago is at St. Giuseppe's in Moline. Thanks to Bobby Schilling for hosting.","2013-09-12T19:08:14+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/301598723316541/?type=1&relevant_count=1","213918568751224_301598733316540",143,14,0
"323","213918568751224","Bruce Rauner",NA,"2013-09-11T13:17:58+0000","photo","https://www.facebook.com/BruceRauner/photos/a.220336201442794.1073741825.213918568751224/301070156702731/?type=1&relevant_count=1","213918568751224_301070170036063",934,11,278
